year,month,day,YMD,dno,orderno,sku,pname,metric,qty,price,amount,tax,total
2017,7,3,03-7월-17,1,2114865845,134356,심플로트 냉동감자(메가크런치 2.04Kg/EA),EA,5,9960,49800,4980,54780
2017,7,3,03-7월-17,2,2114865845,140440,심플로트 냉동감자(크링클컷웨지 2.26Kg/EA),EA,5,6980,34900,3490,38390
2017,7,3,03-7월-17,3,2114865845,146239,쉐프솔루션 김치볶음밥(300g/EA),EA,10,1400,14000,1400,15400
2017,7,3,03-7월-17,4,2114865840,127454,파로 할라페뇨(슬라이스 3Kg/EA),EA,2,8500,17000,1700,18700
2017,7,3,03-7월-17,5,2114888478,124531,맥앤치즈볼(생활맥주용 50G*4입 200g/EA),EA,12,3620,43440,4344,47784
2017,7,3,03-7월-17,6,2114865845,116709,"리코스 나쵸칩(454g/EA) 미국
※미국",EA,12,2900,34800,3480,38280
2017,7,3,03-7월-17,7,2114865845,100744,"스프라이트 사이다(355ml 355g/EA) 한국 24EA/BOX
※국내산",BOX,1,13992,13992,1399,15391
2017,7,3,03-7월-17,8,2114888478,160016,오뚜기 케찹(스파우트팩 3.3Kg/EA),EA,2,3950,7900,790,8690
2017,7,3,03-7월-17,9,2114888478,215140,양파드레싱(생활맥주용 2Kg/EA),EA,3,9000,27000,2700,29700
2017,7,3,03-7월-17,10,2114865840,169394,"샐러드믹스(생활맥주용 150g*5입 750g/BOX) 한국 1EA/BOX
※국내산",BOX,2,14400,28800,0,28800
2017,7,6,06-7월-17,1,2114949417,134356,심플로트 냉동감자(메가크런치 2.04Kg/EA),EA,5,9960,49800,4980,54780
2017,7,6,06-7월-17,2,2114949417,140440,심플로트 냉동감자(크링클컷웨지 2.26Kg/EA),EA,5,6980,34900,3490,38390
2017,7,6,06-7월-17,3,2114970985,526116,유산지(생활맥주용 1000개 EA),EA,1,30000,30000,3000,33000
2017,7,6,06-7월-17,4,2114947867,424783,염지닭안심(생활맥주용 1Kg/EA) 5EA/BOX,BOX,1,41400,41400,4140,45540
